title,price,rating,category,in_stock,description,url
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Unknown,1,No description available,http://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,54.63,3,Unknown,1,No description available,http://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,46.03,1,Unknown,1,No description available,http://books.toscrape.com/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Unknown,1,No description available,http://books.toscrape.com/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Unknown,1,No description available,http://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Unknown,1,No description available,http://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),15.97,4,Unknown,1,No description available,http://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),21.96,1,Unknown,1,No description available,http://books.toscrape.com/fifty-shades-darker-fifty-shades-2_892/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,Unknown,1,No description available,http://books.toscrape.com/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Unknown,1,No description available,http://books.toscrape.com/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Danganronpa Volume 1,51.99,4,Unknown,1,No description available,http://books.toscrape.com/danganronpa-volume-1_889/index.html
Crown of Midnight (Throne of Glass #2),43.29,3,Unknown,1,No description available,http://books.toscrape.com/crown-of-midnight-throne-of-glass-2_888/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Unknown,1,No description available,http://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,17.08,4,Unknown,1,No description available,http://books.toscrape.com/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Unknown,1,No description available,http://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Burning,28.81,3,Unknown,1,No description available,http://books.toscrape.com/burning_884/index.html
Bossypants,49.46,2,Unknown,1,No description available,http://books.toscrape.com/bossypants_883/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Unknown,1,No description available,http://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Unknown,1,No description available,http://books.toscrape.com/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Unknown,1,No description available,http://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A World of Flavor: Your Gluten Free Passport,42.95,1,Unknown,1,No description available,http://books.toscrape.com/a-world-of-flavor-your-gluten-free-passport_879/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Unknown,1,No description available,http://books.toscrape.com/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A Murder in Time,16.64,1,Unknown,1,No description available,http://books.toscrape.com/a-murder-in-time_877/index.html
A Flight of Arrows (The Pathfinders #2),55.53,5,Unknown,1,No description available,http://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Fierce and Subtle Poison,28.13,4,Unknown,1,No description available,http://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Unknown,1,No description available,http://books.toscrape.com/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,Unknown,1,No description available,http://books.toscrape.com/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,4,Unknown,1,No description available,http://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Unknown,1,No description available,http://books.toscrape.com/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
Tuesday Nights in 1980,21.04,2,Unknown,1,No description available,http://books.toscrape.com/tuesday-nights-in-1980_870/index.html
Tracing Numbers on a Train,41.6,3,Unknown,1,No description available,http://books.toscrape.com/tracing-numbers-on-a-train_869/index.html
Throne of Glass (Throne of Glass #1),35.07,3,Unknown,1,No description available,http://books.toscrape.com/throne-of-glass-throne-of-glass-1_868/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,Unknown,1,No description available,http://books.toscrape.com/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Thirteen Reasons Why,52.72,1,Unknown,1,No description available,http://books.toscrape.com/thirteen-reasons-why_866/index.html
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,Unknown,1,No description available,http://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
The Wedding Dress,24.12,1,Unknown,1,No description available,http://books.toscrape.com/the-wedding-dress_864/index.html
The Vacationers,42.15,4,Unknown,1,No description available,http://books.toscrape.com/the-vacationers_863/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,Unknown,1,No description available,http://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Stranger,17.44,4,Unknown,1,No description available,http://books.toscrape.com/the-stranger_861/index.html
The Shadow Hero (The Shadow Hero),33.14,1,Unknown,1,No description available,http://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html
The Secret (The Secret #1),27.37,4,Unknown,1,No description available,http://books.toscrape.com/the-secret-the-secret-1_859/index.html
The Regional Office Is Under Attack!,51.36,5,Unknown,1,No description available,http://books.toscrape.com/the-regional-office-is-under-attack_858/index.html
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Unknown,1,No description available,http://books.toscrape.com/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html
The Project,10.65,1,Unknown,1,No description available,http://books.toscrape.com/the-project_856/index.html
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Unknown,1,No description available,http://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Unknown,1,No description available,http://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Unknown,1,No description available,http://books.toscrape.com/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Unknown,1,No description available,http://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Mistake (Off-Campus #2),43.29,3,Unknown,1,No description available,http://books.toscrape.com/the-mistake-off-campus-2_851/index.html
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,Unknown,1,No description available,http://books.toscrape.com/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Unknown,1,No description available,http://books.toscrape.com/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Unknown,1,No description available,http://books.toscrape.com/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
The Kite Runner,41.82,4,Unknown,1,No description available,http://books.toscrape.com/the-kite-runner_847/index.html
The House by the Lake,36.95,1,Unknown,1,No description available,http://books.toscrape.com/the-house-by-the-lake_846/index.html
The Glittering Court (The Glittering Court #1),44.28,1,Unknown,1,No description available,http://books.toscrape.com/the-glittering-court-the-glittering-court-1_845/index.html
The Girl on the Train,55.02,2,Unknown,1,No description available,http://books.toscrape.com/the-girl-on-the-train_844/index.html
The Genius of Birds,17.24,1,Unknown,1,No description available,http://books.toscrape.com/the-genius-of-birds_843/index.html
The Emerald Mystery,23.15,2,Unknown,1,No description available,http://books.toscrape.com/the-emerald-mystery_842/index.html
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Unknown,1,No description available,http://books.toscrape.com/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Unknown,1,No description available,http://books.toscrape.com/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Unknown,1,No description available,http://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
The Art of War,33.34,5,Unknown,1,No description available,http://books.toscrape.com/the-art-of-war_838/index.html
The Argonauts,10.93,2,Unknown,1,No description available,http://books.toscrape.com/the-argonauts_837/index.html
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Unknown,1,No description available,http://books.toscrape.com/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html
Suddenly in Love (Lake Haven #1),55.99,2,Unknown,1,No description available,http://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,16.24,4,Unknown,1,No description available,http://books.toscrape.com/something-more-than-this_834/index.html
Soft Apocalypse,26.12,2,Unknown,1,No description available,http://books.toscrape.com/soft-apocalypse_833/index.html
So You've Been Publicly Shamed,12.23,2,Unknown,1,No description available,http://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Unknown,1,No description available,http://books.toscrape.com/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Unknown,1,No description available,http://books.toscrape.com/shobu-samurai-project-aryoku-3_830/index.html
Secrets and Lace (Fatal Hearts #1),20.27,1,Unknown,1,No description available,http://books.toscrape.com/secrets-and-lace-fatal-hearts-1_829/index.html
Scarlett Epstein Hates It Here,43.55,5,Unknown,1,No description available,http://books.toscrape.com/scarlett-epstein-hates-it-here_828/index.html
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Unknown,1,No description available,http://books.toscrape.com/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html
Redeeming Love,20.47,5,Unknown,1,No description available,http://books.toscrape.com/redeeming-love_826/index.html
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Unknown,1,No description available,http://books.toscrape.com/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html
Poems That Make Grown Women Cry,14.19,4,Unknown,1,No description available,http://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html
"Nightingale, Sing",38.28,1,Unknown,1,No description available,http://books.toscrape.com/nightingale-sing_823/index.html
Night Sky with Exit Wounds,41.05,1,Unknown,1,No description available,http://books.toscrape.com/night-sky-with-exit-wounds_822/index.html
Mrs. Houdini,30.25,5,Unknown,1,No description available,http://books.toscrape.com/mrs-houdini_821/index.html
Modern Romance,28.26,5,Unknown,1,No description available,http://books.toscrape.com/modern-romance_820/index.html
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,Unknown,1,No description available,http://books.toscrape.com/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Unknown,1,No description available,http://books.toscrape.com/louisa-the-extraordinary-life-of-mrs-adams_818/index.html
Little Red,13.47,3,Unknown,1,No description available,http://books.toscrape.com/little-red_817/index.html
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,Unknown,1,No description available,http://books.toscrape.com/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
Large Print Heart of the Pride,19.15,2,Unknown,1,No description available,http://books.toscrape.com/large-print-heart-of-the-pride_815/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Unknown,1,No description available,http://books.toscrape.com/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,Unknown,1,No description available,http://books.toscrape.com/hollow-city-miss-peregrines-peculiar-children-2_813/index.html
Grumbles,22.16,2,Unknown,1,No description available,http://books.toscrape.com/grumbles_812/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Unknown,1,No description available,http://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
Frostbite (Vampire Academy #2),29.99,5,Unknown,1,No description available,http://books.toscrape.com/frostbite-vampire-academy-2_810/index.html
Follow You Home,21.36,1,Unknown,1,No description available,http://books.toscrape.com/follow-you-home_809/index.html
First Steps for New Christians (Print Edition),29.0,1,Unknown,1,No description available,http://books.toscrape.com/first-steps-for-new-christians-print-edition_808/index.html
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Unknown,1,No description available,http://books.toscrape.com/finders-keepers-bill-hodges-trilogy-2_807/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Unknown,1,No description available,http://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html
Eureka Trivia 6.0,54.59,4,Unknown,1,No description available,http://books.toscrape.com/eureka-trivia-60_805/index.html
Drive: The Surprising Truth About What Motivates Us,34.95,4,Unknown,1,No description available,http://books.toscrape.com/drive-the-surprising-truth-about-what-motivates-us_804/index.html
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Unknown,1,No description available,http://books.toscrape.com/done-rubbed-out-reightman-bailey-1_803/index.html
Doing It Over (Most Likely To #1),35.61,3,Unknown,1,No description available,http://books.toscrape.com/doing-it-over-most-likely-to-1_802/index.html
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Unknown,1,No description available,http://books.toscrape.com/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html
